File,serie,uuid,Reason
Titelblad met bladwijzer en verklaring van de zamenstelling der kaart,,4efdcebe-9edf-443d-b80e-ab1d925e84b9,Missing geo data
"Voorstelling van rivierstanden en noodpeilen, aan de peilschalen langs de rivieren de Boven-Rijn, Neder-Rijn eerste_druk/Serie_1/00 Voorstelling Nieuwe Merwede_Hollandsch Diep en Haringvliet van Gorinchem tot Hellevoetsluis.1863.jpgen Geldersche Ijssel van Emmerik tot de Zuiderzee : de Nieuwe Merwede, het Hollandsch Diep en Haringvliet van Gorinchem tot Hellevoetsluis",,fd4457ec-e780-45ba-9c0f-179b6fef2137,Missing geo data
"Voorstelling van rivierstanden en noodpeilen, aan de peilschalen langs de rivieren de Boven-Rijn, Neder-Rijn en Geldersche Ijssel van Emmerik tot de Zuiderzee : Linge en Kanaal van Steenenhoek",,f19b2786-1d2b-4d0c-bccc-4ea487f024fa,Missing geo data
"Voorstelling van rivierstanden en noodpeilen, aan de peilschalen langs de rivieren de Boven-Rijn, Neder-Rijn en Geldersche Ijssel van Emmerik tot de Zuiderzee : Vecht en Zwarte Water van de mond der Regge tot Kraggenburg",,84f4c3b2-0965-40a4-90fd-a52e9bf1d1af,Missing geo data
Dordrecht,"('EERSTE DRUK', '1')",0adb3cad-0a85-4057-b088-47273f5573de,Negative number in coordinates
Puttershoek,"('EERSTE DRUK', '1')",2d081f50-2eff-453b-b015-8fec400190c4,Negative number in coordinates
Titelblad,,ae227af4-6af8-4fd4-8e27-9650ff8b4a3a,Missing geo data
Vlaardingen,,5d869e4a-77ab-4d2a-a8ae-7a31a1b213c6,Missing geo data
Maassluis,,047acd94-ddfd-4205-b842-559e3e106cb0,Missing geo data
Brielle,,44ad8dcd-b4ff-4134-90f9-c62337d1aed4,Missing geo data
Alblasserdam,,12f25965-61e0-4786-9c79-ae4976d68fa3,Missing geo data
Titelblad met bladwijzer en verklaring van de zamenstelling der kaart,,a3368a07-7d1b-4b7f-96d3-8b4e98fe7d1a,Missing geo data
"Papillot, behoorende bij het blad No. 18",,8940e4a9-0a66-45e4-b987-76af0d8992d6,Missing geo data
Supplementair Blad. Voorst.,,64eb4748-d505-4dec-b0a4-276a836f7c95,Missing geo data
Titelblad met bladwijzer en verklaring van de zamenstelling der kaart,,5d570941-a633-4f54-aaa9-0c24e95ac853,Missing geo data
Titelblad met schets van de verdeeling der bladen,,d24d9319-cb10-4c7c-8b72-64aff699a99f,Missing geo data
Sliedrecht,,1d328164-7d7d-4d11-9917-2e64226dadc0,Missing geo data
Giessendam,,7f431885-bf19-42dc-b44a-51aa54d05f9d,Missing geo data
Zuilichem,"('EERSTE HERZIENING', '1')",f631e8d8-9900-48e7-b48c-593e3bbca8bb,Negative number in coordinates
Zuilichem,"('EERSTE HERZIENING', '1')",0746920c-ec51-41ac-a379-4965d887b75d,Negative number in coordinates
Dordrecht,,204a6c4d-a71c-4827-bbc0-99e81aa363ee,Missing geo data
De Lier,,ab95a816-6cef-49b4-ae66-854374dbff37,Missing geo data
"Supplementblad No. 1 Mallegat, Dordtsche Kil en Nieuwe Merwede : ’s Gravendeel",,3a4e7e14-c512-4722-a517-f38ea55296cd,Missing geo data
