File,uuid,serie,Geo Coordinate,Image Coordinate,width,height
01 Schenkenschans 1830,275c34fa-3eed-4a54-8bf4-7a7b2891ffe7,"('EERSTE DRUK', '1')","[[ 6.0444895 51.8323887]
 [ 6.1699907 51.8316185]
 [ 6.1707722 51.8765341]
 [ 6.0451458 51.8773053]
 [ 6.0444895 51.8323887]]","[[[ 183. 4393.]]

 [[6963. 4417.]]

 [[6977.  381.]]

 [[ 198.  357.]]]",7480,4920
02 Kekerdom 1830,58c0a819-0d21-47d6-bc3f-4b7e4c6c85f7,"('EERSTE DRUK', '1')","[[ 5.9281703 51.8440855]
 [ 6.0460169 51.8434831]
 [ 6.0466783 51.8886282]
 [ 5.9287134 51.8892314]
 [ 5.9281703 51.8440855]]","[[[ 154. 4576.]]

 [[6597. 4655.]]

 [[6648.  512.]]

 [[ 206.  433.]]]",7008,5040
02a Supplementair blad behorende bij het blad No 2 Kekerdom,8919bde8-ff38-4c1d-b11e-c68a2f3c220a,"('EERSTE DRUK', '1')","[[ 5.9419468 51.8217754]
 [ 6.0003376 51.8214847]
 [ 6.0006434 51.8439419]
 [ 5.9422234 51.8442327]
 [ 5.9419468 51.8217754]]","[[[ 473. 2615.]]

 [[3805. 2621.]]

 [[3809.  462.]]

 [[ 477.  457.]]]",4260,3088
03 Nijmegen 1830,cb36997f-56dc-4bca-9a23-cbf871bfb83b,"('EERSTE DRUK', '1')","[[ 5.8127792 51.8452487]
 [ 5.9280511 51.844774 ]
 [ 5.9285908 51.8896475]
 [ 5.8132039 51.8901228]
 [ 5.8127792 51.8452487]]","[[[ 433. 4532.]]

 [[6815. 4606.]]

 [[6863.  491.]]

 [[ 481.  416.]]]",7280,4980
04 Herveld 1830,199842ed-2aa4-41d8-b4cb-7f02260717ca,"('EERSTE DRUK', '1')","[[ 5.6964265 51.8603043]
 [ 5.8133524 51.859938 ]
 [ 5.8137814 51.9051853]
 [ 5.6967378 51.9055521]
 [ 5.6964265 51.8603043]]","[[[ 442. 4611.]]

 [[6860. 4646.]]

 [[6883.  500.]]

 [[ 465.  465.]]]",7328,5604
05 Dodewaard 1831,b9295f14-2152-4c30-92e0-dcf7d0e3ac7c,"('EERSTE DRUK', '1')","[[ 5.580783  51.872877 ]
 [ 5.6969157 51.872628 ]
 [ 5.6972264 51.9176943]
 [ 5.5809773 51.9179436]
 [ 5.580783  51.872877 ]]","[[[ 430. 4525.]]

 [[6808. 4606.]]

 [[6860.  484.]]

 [[ 483.  402.]]]",7264,5052
06 Leeuwen 1831,9061daf0-d5c2-4a77-b929-6ea937b24920,"('EERSTE DRUK', '1')","[[ 5.4641866 51.8730749]
 [ 5.5810193 51.87294  ]
 [ 5.5812168 51.9187122]
 [ 5.4642652 51.9188472]
 [ 5.4641866 51.8730749]]","[[[ 452. 4564.]]

 [[6869. 4612.]]

 [[6900.  461.]]

 [[ 483.  413.]]]",7344,5100
07 Tiel 1831,1bd5217f-b75a-4c80-a47f-35abcaff9055,"('EERSTE DRUK', '1')","[[ 5.3768972 51.839789 ]
 [ 5.4646965 51.8397638]
 [ 5.464805  51.9026162]
 [ 5.376883  51.9026415]
 [ 5.3768972 51.839789 ]]","[[[ 177. 6095.]]

 [[5109. 6122.]]

 [[5139.  484.]]

 [[ 207.  457.]]]",5316,6592
08 Varik 1831,1b6b0761-ad2e-4026-9bf7-2871d022b5c8,"('EERSTE DRUK', '1')","[[ 5.3474367 51.7946049]
 [ 5.4643742 51.7945861]
 [ 5.4644522 51.8400285]
 [ 5.3473967 51.8400473]
 [ 5.3474367 51.7946049]]","[[[ 471. 4604.]]

 [[6860. 4627.]]

 [[6876.  465.]]

 [[ 487.  441.]]]",7320,5088
09 Bommel 1832,4de72774-2c60-466c-9bee-bdd9e827e561,"('EERSTE DRUK', '1')","[[ 5.2312726 51.7951098]
 [ 5.3477689 51.7952066]
 [ 5.3477293 51.8405957]
 [ 5.2311156 51.8404987]
 [ 5.2312726 51.7951098]]","[[[ 469. 4616.]]

 [[6880. 4633.]]

 [[6892.  478.]]

 [[ 481.  461.]]]",7328,5004
