Type,Line,Space,ID,Origin,InitialOrigin,Reference1,Reference2,Reference3,Tags,Roles,MaxUnauthorised,NumberReference1,NumberReference2,NumberReference3
image,0,32,4efdcebe-9edf-443d-b80e-ab1d925e84b9,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/00-Kaart-Bovenrijn-Waal-Merwede-de-Oude-en-een-gedeelte-Nieuwe-Maas-van-Lobith-tot-Brielle.jpg,,rivierkaart,1,1,,,-1,0,,
image,1,32,fd4457ec-e780-45ba-9c0f-179b6fef2137,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/00-Voorstelling-Nieuwe-Merwede-Hollandsch-Diep-en-Haringvliet-van-Gorinchem-tot-Hellevoetsluis-1863.jpg,,rivierkaart,1,1,,,-1,1,,
image,2,32,f19b2786-1d2b-4d0c-bccc-4ea487f024fa,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/00-Voorstelling-van-Linge-en-Kanaal-van-Steenenhoek-1863.jpg,,rivierkaart,1,1,,,-1,2,,
image,3,32,84f4c3b2-0965-40a4-90fd-a52e9bf1d1af,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/00-Voorstelling-van-Vecht-en-Zwarte-Water-van-de-mond-der-Regge-tot-Kraggenburg-1863.jpg,,rivierkaart,1,1,,,-1,3,,
image,4,32,275c34fa-3eed-4a54-8bf4-7a7b2891ffe7,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/01-Schenkenschans-1830.jpg,,rivierkaart,1,1,,,-1,4,,
image,5,32,58c0a819-0d21-47d6-bc3f-4b7e4c6c85f7,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/02-Kekerdom-1830.jpg,,rivierkaart,1,1,,,-1,5,,
image,6,32,8919bde8-ff38-4c1d-b11e-c68a2f3c220a,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/02a-Supplementair-blad-behorende-bij-het-blad-No-2-Kekerdom.jpg,,rivierkaart,1,1,,,-1,6,,
image,7,32,cb36997f-56dc-4bca-9a23-cbf871bfb83b,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/03-Nijmegen-1830.jpg,,rivierkaart,1,1,,,-1,7,,
image,8,32,199842ed-2aa4-41d8-b4cb-7f02260717ca,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/04-Herveld-1830.jpg,,rivierkaart,1,1,,,-1,8,,
image,9,32,b9295f14-2152-4c30-92e0-dcf7d0e3ac7c,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/05-Dodewaard-1831.jpg,,rivierkaart,1,1,,,-1,9,,
image,10,32,9061daf0-d5c2-4a77-b929-6ea937b24920,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/06-Leeuwen-1831.jpg,,rivierkaart,1,1,,,-1,10,,
image,11,32,1bd5217f-b75a-4c80-a47f-35abcaff9055,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/07-Tiel-1831.jpg,,rivierkaart,1,1,,,-1,11,,
image,12,32,1b6b0761-ad2e-4026-9bf7-2871d022b5c8,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/08-Varik-1831.jpg,,rivierkaart,1,1,,,-1,12,,
image,13,32,4de72774-2c60-466c-9bee-bdd9e827e561,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/09-Bommel-1832.jpg,,rivierkaart,1,1,,,-1,13,,
image,14,32,b156ebb0-b591-4865-b09c-fe8be8a04dac,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/10-Zuilichem-1832.jpg,,rivierkaart,1,1,,,-1,14,,
image,15,32,1e771cfd-f9e0-4a28-ba00-cbb313688f5d,https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/rivierkaart/geogegevens/eerste_druk/Serie_1/11-Brakel-1832.jpg,,rivierkaart,1,1,,,-1,15,,
